MemberList,Uin,UserName,NickName,HeadImgUrl,ContactFlag,MemberCount,RemarkName,HideInputBarFlag,Sex,Signature,VerifyFlag,OwnerUin,PYInitial,PYQuanPin,RemarkPYInitial,RemarkPYQuanPin,StarFriend,AppAccountFlag,Statues,AttrStatus,Province,City,Alias,SnsFlag,UniFriend,DisplayName,ChatRoomId,KeyWord,EncryChatRoomId,IsOwner
[],0,@0e656ac9eb5ce66c43bac04284168b42,微信支付,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=621353886&username=@0e656ac9eb5ce66c43bac04284168b42&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,帮助解决微信支付中遇到的困难，收集关于微信支付的建议反馈。,24,0,WXZF,weixinzhifu,,,0,0,0,0,广东,,,0,0,,0,gh_,,0
[],0,@6b376c3c95eaf29766eb55991ac54819,MIUI极客秀,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=625264447&username=@6b376c3c95eaf29766eb55991ac54819&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,MIUI最精品玩机技巧；国内外热门科技资讯；手机发烧友和数码爱好者大本营。,8,0,MIUIJKX,MIUIjikexiu,,,0,0,0,0,北京,,,0,0,,0,gh_,,0
[],0,@61335d377fcdc3fda299c3951f5053ad,狗耳朵,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=625267882&username=@61335d377fcdc3fda299c3951f5053ad&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,狗耳朵网站（www.dogear.cn）热门资讯、问题反馈和官方消息。,8,0,GED,gouerduo,,,0,0,0,0,四川,成都,,0,0,,0,gh_,,0
[],0,@b80c0739d00ad33dc5ed00197edb4667,WHUT化生2011级,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=625270393&username=@b80c0739d00ad33dc5ed00197edb4667&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,为青春喝彩,8,0,WHUTHS2011J,WHUThuasheng2011ji,,,0,0,0,0,湖北,武汉,,0,0,,0,gh_,,0
[],0,@4c258eec91a43fb584fb90950a743941,泼辣修图,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=629897921&username=@4c258eec91a43fb584fb90950a743941&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,泼辣修图官方公众号，助你由小白成长为大师。,24,0,PLXT,polaxiutu,,,0,0,0,0,北京,海淀,,0,0,,0,gh_,,0
[],0,@185622d1eef4134d021eddeb8009a8db,招商银行信用卡,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=629894862&username=@185622d1eef4134d021eddeb8009a8db&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,1,0,,0,0,招行信用卡官方微客服，快速办卡，额度最高5万元；快速提升额度；免费开通笔笔交易提醒，保障用卡安全；一键查账单、查积分、办分期！,29,0,ZSYXXYK,zhaoshangyinxingxinyongka,,,0,0,0,0,上海,浦东新区,,0,0,,0,cmb,,0
[],0,@c05b629417fe1e15aa1ebf5158f31fb2,设计赛,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=630958949&username=@c05b629417fe1e15aa1ebf5158f31fb2&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,专注于国内外各项设计大赛，发布最新赛事信息及创意，连接设计师与市场的桥梁，还能拿到丰厚的奖金。一个个奖项就是成功路上最好的见证！,8,0,SJS,shejisai,,,0,0,0,0,北京,东城,,0,0,,0,gh_,,0
[],0,@2b9c09f0d3aeaf90e5bfdfa0bfd530ee,QQ安全中心,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=628198461&username=@2b9c09f0d3aeaf90e5bfdfa0bfd530ee&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,QQ安全中心官方微信。努力保护您的QQ安全，关键时刻及时提醒，随时掌握帐号安全动态。,24,0,QQAQZX,QQanquanzhongxin,,,0,0,0,0,广东,深圳,,0,0,,0,qqs,,0
[],0,@825d58f7410b5e1f8aed062b7166d41a,Foodie懒人美式餐厅,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=631974961&username=@825d58f7410b5e1f8aed062b7166d41a&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,【武汉首家无餐具懒人餐厅——Foodie懒人美式餐厅】订餐电话：027-87521997,8,0,FOODIELRMSCT,Foodielanrenmeishicanting,,,0,0,0,0,湖北,武汉,,0,0,,0,gh_,,0
[],0,@63256c1ff56c072d3ab1121742f38e11,该帐号已注销,/cgi-bin/mmwebwx-bin/webwxgeticon?seq=631979167&username=@63256c1ff56c072d3ab1121742f38e11&skey=@crypt_e5fa4716_c7ecc4b9880fc662d28c35f0c1cc5ddd,3,0,,0,0,,8,0,GZHYZX,gaizhanghaoyizhuxiao,,,0,0,0,0,湖北,武汉,,0,0,,0,gh_,,0
